Group,Task,Date,Start,Finish,Minutes,Duration,Billing Rate,Gain,Notes
Open Source,Gitoxide,2021/05/05,10:45 AM,12:13 PM,88,01:28:00,¥0.00/h,-,Wrapup git-traverse for trees
Open Source,Gitoxide,2021/05/05,12:49 PM,2:53 PM,124,02:04:00,¥0.00/h,-,Convenience methods for object iteration
Open Source,Gitoxide,2021/05/06,8:01 AM,8:04 AM,3,00:03:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/06,9:23 AM,10:41 AM,78,01:18:00,¥0.00/h,-,"Wrapup convenience API, improve experiments with it."
Open Source,Gitoxide,2021/05/06,2:56 PM,3:11 PM,15,00:15:00,¥0.00/h,-,Finish transition to convenience API 
Open Source,Gitoxide,2021/05/06,5:45 PM,7:03 PM,78,01:18:00,¥0.00/h,-,git-hours clone part 1
Open Source,Gitoxide,2021/05/06,9:30 PM,10:55 PM,85,01:25:00,¥0.00/h,-,git-hours clone is working (linux costs 185 years)
Open Source,Gitoxide,2021/05/07,7:23 AM,7:35 AM,12,00:12:00,¥0.00/h,-,refactoring
Open Source,Gitoxide,2021/05/07,7:50 AM,8:09 AM,19,00:19:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/07,9:12 AM,9:27 AM,15,00:15:00,¥0.00/h,-,git-hours with clap and —omit-pii flag
Open Source,Gitoxide,2021/05/07,10:42 AM,11:31 AM,49,00:49:00,¥0.00/h,-,Really make git-hours pretty
Open Source,Gitoxide,2021/05/07,11:36 AM,11:54 AM,18,00:18:00,¥0.00/h,-,git-hours discussion with more performance comparisions.
Open Source,Gitoxide,2021/05/07,3:03 PM,3:08 PM,5,00:05:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/07,3:13 PM,3:20 PM,7,00:07:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/07,3:54 PM,4:17 PM,23,00:23:00,¥0.00/h,-,Better contributor count for git-hours
Open Source,Gitoxide,2021/05/07,9:47 PM,9:58 PM,11,00:11:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/08,9:01 AM,10:46 AM,105,01:45:00,¥0.00/h,-,"git-hours and refactoring, prepping to make it a gix tool"
Open Source,Gitoxide,2021/05/08,11:03 AM,11:47 AM,44,00:44:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/08,11:51 AM,12:13 PM,22,00:22:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/08,1:01 PM,1:06 PM,5,00:05:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/72
Open Source,Gitoxide,2021/05/08,1:15 PM,1:44 PM,29,00:29:00,¥0.00/h,-,Make ‘hours’ a proper ‘gix’ tool
Open Source,Gitoxide,2021/05/08,4:06 PM,4:56 PM,50,00:50:00,¥0.00/h,-,Integrate latest prodash so that ‘hours’ tool can be happy
Open Source,Gitoxide,2021/05/08,5:08 PM,5:23 PM,15,00:15:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/79
Open Source,Gitoxide,2021/05/08,5:28 PM,5:43 PM,15,00:15:00,¥0.00/h,-,https://github.com/Byron/gitoxide/pull/80
Open Source,Gitoxide,2021/05/08,5:43 PM,6:19 PM,36,00:36:00,¥0.00/h,-,Start on https://github.com/Byron/gitoxide/pull/81
Open Source,Gitoxide,2021/05/08,9:16 PM,10:02 PM,46,00:46:00,¥0.00/h,-,review and merge https://github.com/Byron/gitoxide/pull/81
Open Source,Gitoxide,2021/05/08,10:02 PM,10:38 PM,36,00:36:00,¥0.00/h,-,Prepare auto-release capability - many crates come with a lot of work when releasing ;)
Open Source,Gitoxide,2021/05/09,8:35 AM,9:25 AM,50,00:50:00,¥0.00/h,-,release automation; more perf tests and seek some help from community: https://github.com/Byron/gitoxide/pull/81
Open Source,Gitoxide,2021/05/09,9:25 AM,10:19 AM,54,00:54:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/09,1:56 PM,2:40 PM,44,00:44:00,¥0.00/h,-,release build works again
Open Source,Gitoxide,2021/05/09,2:40 PM,3:33 PM,53,00:53:00,¥0.00/h,-,release 0.7
Open Source,Gitoxide,2021/05/09,4:49 PM,5:36 PM,47,00:47:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/10,3:46 PM,4:05 PM,19,00:19:00,¥0.00/h,-,Reply reddit
Open Source,Gitoxide,2021/05/12,9:54 AM,11:17 AM,83,01:23:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/83
Open Source,Gitoxide,2021/05/12,11:17 AM,11:21 AM,4,00:04:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/84
Open Source,Gitoxide,2021/05/12,11:46 AM,12:07 PM,21,00:21:00,¥0.00/h,-,fix CI
Open Source,Gitoxide,2021/05/12,12:34 PM,12:56 PM,22,00:22:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/85
Open Source,Gitoxide,2021/05/12,12:56 PM,1:02 PM,6,00:06:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/12,6:53 PM,6:59 PM,6,00:06:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/84
Open Source,Gitoxide,2021/05/13,9:40 AM,9:48 AM,8,00:08:00,¥0.00/h,-,https://github.com/Byron/gitoxide/discussions/82#discussioncomment-730193
Open Source,Gitoxide,2021/05/14,9:35 AM,10:03 AM,28,00:28:00,¥0.00/h,-,Update pack gen story and task list; think about how the moving parts can deliver value faster
Open Source,Gitoxide,2021/05/16,9:34 AM,9:48 AM,14,00:14:00,¥0.00/h,-,https://github.com/fMeow/maybe-async-rs/issues/8#issuecomment-841752210
Open Source,Gitoxide,2021/05/17,9:21 AM,9:32 AM,11,00:11:00,¥0.00/h,-,https://github.com/fMeow/maybe-async-rs/issues/8#issuecomment-841918978
Open Source,Gitoxide,2021/05/19,8:38 AM,9:05 AM,27,00:27:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/19,9:14 AM,10:13 AM,59,00:59:00,¥0.00/h,-,a test to validate new traversal modes
Open Source,Gitoxide,2021/05/19,11:01 AM,12:16 PM,75,01:15:00,¥0.00/h,-,tree traversal for pack-gen
Open Source,Gitoxide,2021/05/19,1:17 PM,1:59 PM,42,00:42:00,¥0.00/h,-,Remind myself that object-caches don’t do anything for properly implemented additive tree traversals
Open Source,Gitoxide,2021/05/20,8:11 AM,8:54 AM,43,00:43:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/20,8:58 AM,9:57 AM,59,00:59:00,¥0.00/h,-,changes based pack-gen
Open Source,Gitoxide,2021/05/20,9:57 AM,11:28 AM,91,01:31:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/20,11:40 AM,12:07 PM,27,00:27:00,¥0.00/h,-,Everything works in pack-gen land. I wonder if multiple traversal modes make sense even.
Open Source,Gitoxide,2021/05/20,1:18 PM,2:32 PM,74,01:14:00,¥0.00/h,-,prepare support for Tag handling
Open Source,Gitoxide,2021/05/20,2:57 PM,3:26 PM,29,00:29:00,¥0.00/h,-,TagIteration along with tag resolution in pack-gen
Open Source,Gitoxide,2021/05/20,3:46 PM,5:17 PM,91,01:31:00,¥0.00/h,-,start on pack-gen command just to see that a refactoring really will be required.
Open Source,Gitoxide,2021/05/21,7:48 AM,8:00 AM,12,00:12:00,¥0.00/h,-,try cargo-deny
Open Source,Gitoxide,2021/05/21,8:58 AM,9:46 AM,48,00:48:00,¥0.00/h,-,"research option to not include amount of objects in pack, but there is not way really."
Open Source,Gitoxide,2021/05/21,10:40 AM,11:31 AM,51,00:51:00,¥0.00/h,-,first version of the counting stage. The following stage will need some refactoring.
Open Source,Gitoxide,2021/05/21,12:05 PM,2:10 PM,125,02:05:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/21,2:31 PM,4:54 PM,143,02:23:00,¥0.00/h,-,Actually the first humble version of a pack generator
Open Source,Gitoxide,2021/05/21,10:00 PM,11:22 PM,82,01:22:00,¥0.00/h,-,perf tests and pretty tui support
Open Source,Gitoxide,2021/05/22,10:11 AM,10:23 AM,12,00:12:00,¥0.00/h,-,https://github.com/Byron/gitoxide/projects/1#card-61544186
Open Source,Gitoxide,2021/05/23,8:58 AM,9:17 AM,19,00:19:00,¥0.00/h,-,https://github.com/Byron/gitoxide/pull/88
Open Source,Gitoxide,2021/05/23,9:17 AM,9:20 AM,3,00:03:00,¥0.00/h,-,Plan new work block
Open Source,Gitoxide,2021/05/24,8:43 AM,9:10 AM,27,00:27:00,¥0.00/h,-,https://github.com/Byron/gitoxide/discussions/91
Open Source,Gitoxide,2021/05/24,9:11 AM,9:32 AM,21,00:21:00,¥0.00/h,-,‘sha1’ feature toggle
Open Source,Gitoxide,2021/05/24,2:26 PM,2:57 PM,31,00:31:00,¥0.00/h,-,refactor git-features for more control over dependencies
Open Source,Gitoxide,2021/05/24,2:57 PM,3:12 PM,15,00:15:00,¥0.00/h,-,prepare work on git-ref
Open Source,Gitoxide,2021/05/24,3:25 PM,4:42 PM,77,01:17:00,¥0.00/h,-,refactor git-odb
Open Source,Gitoxide,2021/05/24,5:03 PM,5:12 PM,9,00:09:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/24,5:41 PM,6:28 PM,47,00:47:00,¥0.00/h,-,zlib-ng in git-features makes progress but shows some teeth
Open Source,Gitoxide,2021/05/24,7:17 PM,9:40 PM,143,02:23:00,¥0.00/h,-, split zlib and zlib backend support
Open Source,Gitoxide,2021/05/24,10:02 PM,10:46 PM,44,00:44:00,¥0.00/h,-,git-pack initial release
Open Source,Gitoxide,2021/05/25,8:20 AM,8:34 AM,14,00:14:00,¥0.00/h,-,https://github.com/Byron/gitoxide/discussions/93
Open Source,Gitoxide,2021/05/25,9:56 AM,10:03 AM,7,00:07:00,¥0.00/h,-,Invite Conor Davis: https://github.com/Byron/gitoxide/pull/88#issuecomment-847474313 
Open Source,Gitoxide,2021/05/25,10:36 AM,12:43 PM,127,02:07:00,¥0.00/h,-,"git-pack as separate crate, nearly there."
Open Source,Gitoxide,2021/05/25,1:43 PM,2:48 PM,65,01:05:00,¥0.00/h,-,Another git-pack release
Open Source,Gitoxide,2021/05/25,3:30 PM,3:50 PM,20,00:20:00,¥0.00/h,-,look into git-mit to realize it could soon use gitoxide instead of git2
Open Source,Gitoxide,2021/05/25,3:58 PM,4:55 PM,57,00:57:00,¥0.00/h,-,"Get back into nom parsing, collect existing knowledge and sketch things"
Open Source,Gitoxide,2021/05/26,7:20 AM,7:23 AM,3,00:03:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/26,8:41 AM,8:47 AM,6,00:06:00,¥0.00/h,-,accounting update
Open Source,Gitoxide,2021/05/26,8:47 AM,11:32 AM,165,02:45:00,¥0.00/h,-,Basics of loose ref parsing
Open Source,Gitoxide,2021/05/26,11:59 AM,12:21 PM,22,00:22:00,¥0.00/h,-,"figure out what git does with newlines, but it probably just ignores them"
Open Source,Gitoxide,2021/05/26,12:56 PM,2:09 PM,73,01:13:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/26,4:20 PM,4:54 PM,34,00:34:00,¥0.00/h,-,More tests for ref validation
Open Source,Gitoxide,2021/05/26,9:25 PM,10:33 PM,68,01:08:00,¥0.00/h,-,Closer to implementing ‘loose::Store::find_one()’
Open Source,Gitoxide,2021/05/27,7:57 AM,8:01 AM,4,00:04:00,¥0.00/h,-,https://github.com/gitpython-developers/GitPython/discussions/1256?converting=1
Open Source,Gitoxide,2021/05/27,8:04 AM,8:59 AM,55,00:55:00,¥0.00/h,-,more find_one
Open Source,Gitoxide,2021/05/27,9:15 AM,11:34 AM,139,02:19:00,¥0.00/h,-,finsh Store::find and start peeling
Open Source,Gitoxide,2021/05/27,12:47 PM,1:26 PM,39,00:39:00,¥0.00/h,-,finish peel testing
Open Source,Gitoxide,2021/05/27,1:55 PM,2:29 PM,34,00:34:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/27,3:00 PM,4:02 PM,62,01:02:00,¥0.00/h,-,wrap up git-ref docs
Open Source,Gitoxide,2021/05/27,4:24 PM,4:53 PM,29,00:29:00,¥0.00/h,-,discover sketch
Open Source,Gitoxide,2021/05/27,6:52 PM,8:35 PM,103,01:43:00,¥0.00/h,-,repository discovery
Open Source,Gitoxide,2021/05/27,9:14 PM,11:21 PM,127,02:07:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/27,11:30 PM,11:57 PM,27,00:27:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/28,7:43 AM,8:17 AM,34,00:34:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/28,9:00 AM,10:51 AM,111,01:51:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/28,11:30 AM,12:20 PM,50,00:50:00,¥0.00/h,-,
Open Source,Gitoxide,2021/05/28,12:40 PM,2:20 PM,100,01:40:00,¥0.00/h,-,https://github.com/Byron/gitoxide/issues/90
Open Source,Gitoxide,2021/05/28,2:38 PM,3:15 PM,37,00:37:00,¥0.00/h,-,wrap up previous work block.
Open Source,Gitoxide,2021/05/28,3:45 PM,4:55 PM,70,01:10:00,¥0.00/h,-,research packed refs
Open Source,Gitoxide,2021/06/09,4:50 PM,4:58 PM,8,00:08:00,¥0.00/h,-,
Open Source,Gitoxide,2021/06/18,11:12 AM,11:20 AM,8,00:08:00,¥0.00/h,-,Fix Rust 1.53 update on CI
